"","date","BLOCK","SUB_BLOCK","VINE","LEAF","round","day","year","treatment","hhmmss","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","DarkAdaptedID","Fo","Fm","Fv","Adark","LightAdaptedID","Fs","Fm.","PhiPS2","PS2.1","Qabs_fs","Afs","ETR","Fv..Fm.","PhiCO2","NPQ","DarkPulseID","Fo.","Fv.","qP","qN","qP_Fo","qN_Fo","block_id","leaf_temp","Leak","wrong_vine","pixel_number","stem_wp_MPa","leaf_wp_MPa"
"1",2020-05-27,"B1R1","_NE","_5.3","_1",1,148,2020,1,"05:32:03","0.000380201","-0.623482121","425.2992568","0.030314377",0.814386595,"21.70720323","22.63997742","1.245898476","49.31723772","RECT-513-20200527-05_32_04",733.9692308,3954.29,3220.320769,"-0.623482121","-",0,0,"#DIV/0!",0.5,"0.0209979","-0.623482121","#DIV/0!","#DIV/0!","-1.57985E-11","#DIV/0!","-",0,0,"#DIV/0!",1,0,1.22791805,"B1R1_NE",NA,"no","no",13,NA,-0.22
"2",2020-05-27,"B1R1","_NE","_5.3","_1",2,148,2020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1R1_NE",31.1,"no","no",13,NA,-0.65
"3",2020-05-27,"B1R1","_NE","_5.3","_1",3,148,2020,1,"11:30:07","0.012678021","21.62012819","271.6066171","0.455132685",0.837706822,"38.91138","40.23654","2.879034033","54.79828651","RECT-909-20200527-06_22_07",339.4313126,2091.47,1752.038687,"0.724919942","RECT-996-20200527-11_30_08",823.0131154,1274.71,"0.354352664",0.5,"1348.790169","21.62012819","238.9736949","0.997732818","0.015491815","0.640741816","DARK-997-20200527-11_30_10",2.89,1271.82,"0.355157872",0.391059955,0.482954322,0.466176921,"B1R1_NE",31.4,"no","no",13,NA,-0.96
"4",2020-05-27,"B1R1","_NE","_5.3","_1",4,148,2020,1,"14:08:10","0.013767014","18.19509516","269.3187243","0.374626488",0.801830668,"41.60698387","43.04145806","3.722790586","49.98003861","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-710-20200527-14_08_11",768.7821154,1173.85,"0.34507636",0.5,"1348.780335","18.19509516","232.7161039","0.470988627","0.013791469","2.089696299","DARK-711-20200527-14_08_13",620.98,552.87,"0.73266389",0.816069278,0.890021347,0.843499284,"B1R1_NE",31,"no","no",13,-0.59,-1.15
"5",2020-05-27,"B1R1","_NE","_5.3","_1",5,148,2020,1,"17:29:34","0.008562402","14.38079771","258.8404362","0.236873593",0.837706822,"42.36084667","43.33687333","3.547484052","54.89680684","RECT-909-20200527-06_22_07",339.4313126,2091.47,1752.038687,"0.724919942","RECT-1148-20200527-17_29_35",793.98288,671.87,"-0.181750755",0.5,"1348.774072","14.38079771","-122.5703532","0.99879441","0.010124659","2.112908747","DARK-1149-20200527-17_29_37",0.81,671.06,"-0.181970137",0.679020022,-0.367324516,0.810256081,"B1R1_NE",30.8,"no","no",13,NA,-0.86
"6",2020-05-27,"B1R1","_NE","_5.3","_2",3,148,2020,1,"11:32:45","0.013121381","20.44337532","274.8996328","0.446405021",0.837706822,"39.33083667","40.70204","3.030855999","53.55634332","RECT-909-20200527-06_22_07",339.4313126,2091.47,1752.038687,"0.724919942","RECT-998-20200527-11_32_46",809.2736154,1207.74,"0.329927289",0.5,"1348.773032","20.44337532","222.4985153","1.810977528","0.01461955","0.731722059","DARK-999-20200527-11_32_48",-979.45,2187.19,"0.182181879",0.287773696,0.458899456,0.504400962,NA,NA,NA,NA,NA,NA,NA
"7",2020-05-27,"B1R1","_NE","_5.3","_2",4,148,2020,1,"14:10:41","0.013483548","19.31605721","255.0762253","0.343276326",0.801830668,"41.54134667","42.98945667","3.963477924","47.02225294","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-712-20200527-14_10_42",810.5502,1315.17,"0.38369169",0.5,"1348.773361","19.31605721","258.7565651","0.514427793","0.014622637","1.757696724","DARK-713-20200527-14_10_44",638.61,676.56,"0.745861121",0.773591725,0.846050732,0.794904174,NA,NA,NA,NA,NA,NA,NA
"8",2020-05-27,"B1R1","_NE","_5.3","_2",5,148,2020,1,"17:31:48","0.003747784","4.399746097","275.9922977","0.078315393",0.837706822,"44.49533","43.92009","4.537760678","53.24184165","RECT-909-20200527-06_22_07",339.4313126,2091.47,1752.038687,"0.724919942","RECT-1150-20200527-17_31_49",677.93388,1114.03,"0.391458147",0.5,"1348.764072","4.399746097","263.9923425","0.996642819","0.002724588","0.877391094","DARK-1151-20200527-17_31_51",3.74,1110.29,"0.39277677",0.468183146,0.562996203,0.557887224,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-27,"B1R1","_NE","_5.3","_3",3,148,2020,1,"11:35:12","0.01193015","17.6834258","273.1942222","0.363942429",0.837706822,"39.67786129","40.94385161","3.332484274","50.72676723","RECT-909-20200527-06_22_07",339.4313126,2091.47,1752.038687,"0.724919942","RECT-1000-20200527-11_35_13",789.6568462,1114.42,"0.291418993",0.5,"1348.78173","17.6834258","196.5303066","0.998734768","0.012573203","0.876734086","DARK-1001-20200527-11_35_15",1.41,1113.01,"0.291788172",0.467474618,0.419055348,0.557664626,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-27,"B1R1","_NE","_5.3","_3",4,148,2020,1,"14:12:33","0.014908428","18.97605768","269.9012091","0.402201683",0.801830668,"41.20845333","43.08022","3.781128611","47.27969066","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-714-20200527-14_12_35",832.04072,1230.03,"0.323560629",0.5,"1348.781151","18.97605768","218.2062385","0.459582287","0.014370474","1.94857849","DARK-715-20200527-14_12_37",664.73,565.3,"0.704031983",0.809156311,0.778384671,0.824180905,NA,NA,NA,NA,NA,NA,NA
